,Year,City,Type of structure,Type of unit,Rent Price
127297,2024,Leamington,Apartment structures of three units and over,One bedroom units,0.0
127298,2024,Leamington,Apartment structures of three units and over,Two bedroom units,0.0
127299,2024,Leamington,Apartment structures of three units and over,Three bedroom units,0.0
127300,2024,Leamington,Apartment structures of six units and over,Bachelor units,0.0
127301,2024,Leamington,Apartment structures of six units and over,One bedroom units,0.0
127302,2024,Leamington,Apartment structures of six units and over,Two bedroom units,0.0
127303,2024,Leamington,Apartment structures of six units and over,Three bedroom units,0.0
127304,2024,London,Row and apartment structures of three units and over,Bachelor units,1024.0
127305,2024,London,Row and apartment structures of three units and over,One bedroom units,1299.0
127306,2024,London,Row and apartment structures of three units and over,Two bedroom units,1541.0
127307,2024,London,Row and apartment structures of three units and over,Three bedroom units,1750.0
127310,2024,London,Row structures of three units and over,Two bedroom units,1413.0
127311,2024,London,Row structures of three units and over,Three bedroom units,1695.0
127312,2024,London,Apartment structures of three units and over,Bachelor units,1024.0
127313,2024,London,Apartment structures of three units and over,One bedroom units,1299.0
127314,2024,London,Apartment structures of three units and over,Two bedroom units,1548.0
127315,2024,London,Apartment structures of three units and over,Three bedroom units,1863.0
127316,2024,London,Apartment structures of six units and over,Bachelor units,1048.0
127317,2024,London,Apartment structures of six units and over,One bedroom units,1309.0
127318,2024,London,Apartment structures of six units and over,Two bedroom units,1569.0
127319,2024,London,Apartment structures of six units and over,Three bedroom units,1844.0
127321,2024,Meaford,Row and apartment structures of three units and over,One bedroom units,1053.0
127322,2024,Meaford,Row and apartment structures of three units and over,Two bedroom units,1363.0
127329,2024,Meaford,Apartment structures of three units and over,One bedroom units,1070.0
127330,2024,Meaford,Apartment structures of three units and over,Two bedroom units,1460.0
127333,2024,Meaford,Apartment structures of six units and over,One bedroom units,1101.0
127334,2024,Meaford,Apartment structures of six units and over,Two bedroom units,1569.0
127337,2024,Midland,Row and apartment structures of three units and over,One bedroom units,1243.0
127338,2024,Midland,Row and apartment structures of three units and over,Two bedroom units,1477.0
127345,2024,Midland,Apartment structures of three units and over,One bedroom units,1243.0
127346,2024,Midland,Apartment structures of three units and over,Two bedroom units,1477.0
127349,2024,Midland,Apartment structures of six units and over,One bedroom units,1296.0
127350,2024,Midland,Apartment structures of six units and over,Two bedroom units,1510.0
127352,2024,Mississippi Mills,Row and apartment structures of three units and over,Bachelor units,0.0
127353,2024,Mississippi Mills,Row and apartment structures of three units and over,One bedroom units,0.0
127354,2024,Mississippi Mills,Row and apartment structures of three units and over,Two bedroom units,0.0
127355,2024,Mississippi Mills,Row and apartment structures of three units and over,Three bedroom units,0.0
127356,2024,Mississippi Mills,Row structures of three units and over,Bachelor units,0.0
127357,2024,Mississippi Mills,Row structures of three units and over,One bedroom units,0.0
127358,2024,Mississippi Mills,Row structures of three units and over,Two bedroom units,0.0
127359,2024,Mississippi Mills,Row structures of three units and over,Three bedroom units,0.0
127360,2024,Mississippi Mills,Apartment structures of three units and over,Bachelor units,0.0
127361,2024,Mississippi Mills,Apartment structures of three units and over,One bedroom units,0.0
127362,2024,Mississippi Mills,Apartment structures of three units and over,Two bedroom units,0.0
127363,2024,Mississippi Mills,Apartment structures of three units and over,Three bedroom units,0.0
127364,2024,Mississippi Mills,Apartment structures of six units and over,Bachelor units,0.0
127365,2024,Mississippi Mills,Apartment structures of six units and over,One bedroom units,0.0
127366,2024,Mississippi Mills,Apartment structures of six units and over,Two bedroom units,0.0
127367,2024,Mississippi Mills,Apartment structures of six units and over,Three bedroom units,0.0
127368,2024,Norfolk,Row and apartment structures of three units and over,Bachelor units,718.0
127369,2024,Norfolk,Row and apartment structures of three units and over,One bedroom units,1035.0
127370,2024,Norfolk,Row and apartment structures of three units and over,Two bedroom units,962.0
127376,2024,Norfolk,Apartment structures of three units and over,Bachelor units,718.0
127377,2024,Norfolk,Apartment structures of three units and over,One bedroom units,1035.0
127378,2024,Norfolk,Apartment structures of three units and over,Two bedroom units,966.0
127380,2024,Norfolk,Apartment structures of six units and over,Bachelor units,718.0
127381,2024,Norfolk,Apartment structures of six units and over,One bedroom units,1066.0
127382,2024,Norfolk,Apartment structures of six units and over,Two bedroom units,1000.0
127384,2024,North Bay,Row and apartment structures of three units and over,Bachelor units,709.0
127385,2024,North Bay,Row and apartment structures of three units and over,One bedroom units,1006.0
127386,2024,North Bay,Row and apartment structures of three units and over,Two bedroom units,1325.0
127387,2024,North Bay,Row and apartment structures of three units and over,Three bedroom units,1406.0
127391,2024,North Bay,Row structures of three units and over,Three bedroom units,1257.0
127392,2024,North Bay,Apartment structures of three units and over,Bachelor units,709.0
127393,2024,North Bay,Apartment structures of three units and over,One bedroom units,1006.0
127394,2024,North Bay,Apartment structures of three units and over,Two bedroom units,1337.0
127396,2024,North Bay,Apartment structures of six units and over,Bachelor units,730.0
127397,2024,North Bay,Apartment structures of six units and over,One bedroom units,1085.0
127398,2024,North Bay,Apartment structures of six units and over,Two bedroom units,1422.0
127399,2024,North Bay,Apartment structures of six units and over,Three bedroom units,1473.0
127400,2024,North Grenville,Row and apartment structures of three units and over,Bachelor units,0.0
127401,2024,North Grenville,Row and apartment structures of three units and over,One bedroom units,0.0
127402,2024,North Grenville,Row and apartment structures of three units and over,Two bedroom units,0.0
127403,2024,North Grenville,Row and apartment structures of three units and over,Three bedroom units,0.0
127404,2024,North Grenville,Row structures of three units and over,Bachelor units,0.0
127405,2024,North Grenville,Row structures of three units and over,One bedroom units,0.0
127406,2024,North Grenville,Row structures of three units and over,Two bedroom units,0.0
127407,2024,North Grenville,Row structures of three units and over,Three bedroom units,0.0
127408,2024,North Grenville,Apartment structures of three units and over,Bachelor units,0.0
127409,2024,North Grenville,Apartment structures of three units and over,One bedroom units,0.0
127410,2024,North Grenville,Apartment structures of three units and over,Two bedroom units,0.0
127411,2024,North Grenville,Apartment structures of three units and over,Three bedroom units,0.0
127412,2024,North Grenville,Apartment structures of six units and over,Bachelor units,0.0
127413,2024,North Grenville,Apartment structures of six units and over,One bedroom units,0.0
127414,2024,North Grenville,Apartment structures of six units and over,Two bedroom units,0.0
127415,2024,North Grenville,Apartment structures of six units and over,Three bedroom units,0.0
127416,2024,North Perth,Row and apartment structures of three units and over,Bachelor units,1124.0
127417,2024,North Perth,Row and apartment structures of three units and over,One bedroom units,1330.0
127418,2024,North Perth,Row and apartment structures of three units and over,Two bedroom units,1228.0
127419,2024,North Perth,Row and apartment structures of three units and over,Three bedroom units,1290.0
127424,2024,North Perth,Apartment structures of three units and over,Bachelor units,1124.0
127425,2024,North Perth,Apartment structures of three units and over,One bedroom units,1330.0
127426,2024,North Perth,Apartment structures of three units and over,Two bedroom units,1206.0
127427,2024,North Perth,Apartment structures of three units and over,Three bedroom units,1290.0
127428,2024,North Perth,Apartment structures of six units and over,Bachelor units,1124.0
127429,2024,North Perth,Apartment structures of six units and over,One bedroom units,1330.0
127430,2024,North Perth,Apartment structures of six units and over,Two bedroom units,1365.0
127431,2024,North Perth,Apartment structures of six units and over,Three bedroom units,1290.0
127432,2024,Orillia,Row and apartment structures of three units and over,Bachelor units,990.0
127433,2024,Orillia,Row and apartment structures of three units and over,One bedroom units,1396.0
127434,2024,Orillia,Row and apartment structures of three units and over,Two bedroom units,1372.0
127435,2024,Orillia,Row and apartment structures of three units and over,Three bedroom units,1660.0
127440,2024,Orillia,Apartment structures of three units and over,Bachelor units,990.0
127441,2024,Orillia,Apartment structures of three units and over,One bedroom units,1396.0
127442,2024,Orillia,Apartment structures of three units and over,Two bedroom units,1372.0
127443,2024,Orillia,Apartment structures of three units and over,Three bedroom units,1835.0
127444,2024,Orillia,Apartment structures of six units and over,Bachelor units,1115.0
127445,2024,Orillia,Apartment structures of six units and over,One bedroom units,1423.0
127446,2024,Orillia,Apartment structures of six units and over,Two bedroom units,1439.0
